,year,gameid,side,num_counters_picked,num_counters_banned,PGA,higher_PGA,mean_champ_wr,mean_team_wr,result,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,pga_diff
57499,2022,ESPORTSTMNT01_2914376,Red,2,1,3,1,0.4968562894965961,0.5982142857142857,1,3786.0,5475.0,94.0,3027.0,4704.0,75.0,759.0,771.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,3
57500,2022,ESPORTSTMNT01_2914387,Blue,1,1,2,1,0.4983046139901651,0.4797297297297297,0,3149.0,4650.0,80.0,2873.0,4677.0,68.0,276.0,-27.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1
57501,2022,ESPORTSTMNT01_2914387,Red,1,0,1,0,0.5054764881318148,0.6637931034482759,1,2873.0,4677.0,68.0,3149.0,4650.0,80.0,-276.0,27.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
57502,2022,ESPORTSTMNT01_2914404,Blue,0,0,0,0,0.5181483404746837,0.7024793388429752,1,2915.0,4186.0,65.0,3470.0,4913.0,63.0,-555.0,-727.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,-1
57503,2022,ESPORTSTMNT01_2914404,Red,0,1,1,1,0.5063328232837442,0.6515151515151515,0,3470.0,4913.0,63.0,2915.0,4186.0,65.0,555.0,727.0,-2.0,2.0,0.0,0.0,0.0,0.0,1.0,1
57504,2022,ESPORTSTMNT01_2914427,Blue,1,0,1,0,0.5131969197669216,0.4476190476190476,1,3319.0,4573.0,78.0,2859.0,3910.0,62.0,460.0,663.0,16.0,0.0,3.0,1.0,0.0,2.0,2.0,-1
57505,2022,ESPORTSTMNT01_2914427,Red,1,1,2,1,0.508967760853217,0.3653846153846153,0,2859.0,3910.0,62.0,3319.0,4573.0,78.0,-460.0,-663.0,-16.0,0.0,2.0,2.0,0.0,3.0,1.0,1
57506,2022,ESPORTSTMNT01_2914429,Blue,1,0,1,1,0.5123105702029178,0.325,1,3070.0,4192.0,66.0,3580.0,4685.0,76.0,-510.0,-493.0,-10.0,1.0,0.0,1.0,2.0,1.0,0.0,1
57507,2022,ESPORTSTMNT01_2914429,Red,0,0,0,0,0.4832837769474286,0.4383561643835616,0,3580.0,4685.0,76.0,3070.0,4192.0,66.0,510.0,493.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,-1
57508,2022,ESPORTSTMNT01_2915136,Blue,2,1,3,1,0.5076930976398383,0.6650717703349283,1,3093.0,4649.0,79.0,3247.0,4559.0,90.0,-154.0,90.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,3
